# SAVED: date 08/18/2021 time 10:28:32
*VERSION*1.100000
*ORIENTATION*0
*CHANNELS*01000001
*PDD*0

*abs time, delta time, iec x/y, iec z, tt1, tt2, tt3, tt4, tt5, tt6, tt7, tt8
38214.4287,222.2129,-108.828725303232,15,-,16092.2164916992,-,-,-,-,-,1932.99567699432
38434.6401,220.2114,-107.503373618665,15,-,16180.5248260498,-,-,-,-,-,1934.97240543365
38652.8492,218.2091,-106.195650744022,15,-,16249.605178833,-,-,-,-,-,1934.4961643219
38874.0619,221.2127,-104.874717623226,15,-,16357.3246002197,-,-,-,-,-,1928.20870876312
39093.8885,219.8266,-103.558523701354,15,-,16410.0742340088,-,-,-,-,-,1929.09002304077
39314.6033,220.7148,-102.234656183173,15,-,16520.6775665283,-,-,-,-,-,1929.87585067749
39536.8166,222.2133,-100.897603373742,15,-,16617.2981262207,-,-,-,-,-,1928.85196208954
39765.0357,228.2191,-99.5430049646976,15,-,16707.9753875732,-,-,-,-,-,1926.32734775543
39984.2457,219.21,-98.2066389014519,15,-,16816.7610168457,-,-,-,-,-,1924.61264133453
40204.7724,220.5267,-96.8859630608752,15,-,16914.7415161133,-,-,-,-,-,1923.44570159912
40426.8995,222.1271,-95.5548334616179,15,-,17012.414932251,-,-,-,-,-,1928.58982086182
40647.1105,220.211,-94.2401781010586,15,-,17098.7071990967,-,-,-,-,-,1929.1375875473
40867.3219,220.2114,-92.9214965021837,15,-,17179.069519043,-,-,-,-,-,1931.78117275238
41086.3714,219.0495,-91.5976085039859,15,-,17275.9323120117,-,-,-,-,-,1926.99408531189
41311.5876,225.2162,-90.2593915284408,15,-,17390.3846740723,-,-,-,-,-,1929.28051948547
41535.9377,224.3501,-88.9162190542669,15,-,17483.6502075195,-,-,-,-,-,1934.06736850739
41757.0707,221.133,-87.5779841791865,15,-,17608.4251403809,-,-,-,-,-,1930.49514293671
41974.8321,217.7614,-86.2616277074156,15,-,17689.3825531006,-,-,-,-,-,1932.70993232727
42194.9424,220.1103,-84.9505966648291,15,-,17781.4102172852,-,-,-,-,-,1928.92336845398
42415.0343,220.0919,-83.6251195401553,15,-,17878.5572052002,-,-,-,-,-,1931.09047412872
42635.2453,220.211,-82.3132136219423,15,-,17966.7873382568,-,-,-,-,-,1934.56757068634
42858.0922,222.8469,-80.9649761732063,15,-,18076.4579772949,-,-,-,-,-,1927.73258686066
43075.4872,217.395,-79.6511355487023,15,-,18219.6445465088,-,-,-,-,-,1931.47158622742
43297.7419,222.2547,-78.3355899320234,15,-,18328.8993835449,-,-,-,-,-,1936.35380268097
43516.3861,218.6442,-77.0195579456495,15,-,18405.9104919434,-,-,-,-,-,1929.99494075775
43738.5994,222.2133,-75.6949780915013,15,-,18532.0091247559,-,-,-,-,-,1932.5670003891
43957.7919,219.1925,-74.3589947485822,15,-,18625.8659362793,-,-,-,-,-,1933.68637561798
44178.9957,221.2038,-73.0587873849919,15,-,18696.6228485107,-,-,-,-,-,1927.89912223816
44417.9681,238.9724,-71.6350267281295,15,-,18852.4208068848,-,-,-,-,-,1926.32734775543
44640.4127,222.4446,-70.2878241756366,15,-,18958.9290618896,-,-,-,-,-,1929.92353439331
44868.9607,228.548,-68.9404769727803,15,-,19076.0765075684,-,-,-,-,-,1933.85303020477
