# SAVED: date 07/30/2021 time 16:47:34
*VERSION*1.100000
*ORIENTATION*0
*CHANNELS*11000000
*PDD*0

*abs time, delta time, iec x/y, iec z, tt1, tt2, tt3, tt4, tt5, tt6, tt7, tt8
21262.8373,265.2005,-138.541550053436,15,14175.4388809204,8306.14471435547,-,-,-,-,-,-
21559.2378,296.4005,-136.770699193027,15,14282.5441360474,8306.6520690918,-,-,-,-,-,-
21808.8383,249.6005,-135.23554904232,15,14363.1544113159,8293.39027404785,-,-,-,-,-,-
22058.4387,249.6004,-133.747422332862,15,14451.9901275635,8295.41397094727,-,-,-,-,-,-
22308.0391,249.6004,-132.247226509154,15,14534.1768264771,8301.83219909668,-,-,-,-,-,-
22557.6396,249.6005,-130.753267465747,15,14620.0771331787,8292.88673400879,-,-,-,-,-,-
22807.24,249.6004,-129.253055003424,15,14715.3816223145,8315.47737121582,-,-,-,-,-,-
23056.8405,249.6005,-127.747615596782,15,14798.8796234131,8306.79702758789,-,-,-,-,-,-
23306.4409,249.6004,-126.259490167218,15,14874.8788833618,8306.94484710693,-,-,-,-,-,-
23556.0413,249.6004,-124.75904988385,15,14959.4678878784,8303.10726165771,-,-,-,-,-,-
23805.6418,249.6005,-123.265604077741,15,15071.4597702026,8294.4917678833,-,-,-,-,-,-
24055.2422,249.6004,-121.751288609588,15,15166.356086731,8306.640625,-,-,-,-,-,-
24320.4427,265.2005,-120.187348099038,15,15257.5225830078,8290.97080230713,-,-,-,-,-,-
24570.0431,249.6004,-118.675570800509,15,15342.2546386719,8265.41709899902,-,-,-,-,-,-
24819.6435,249.6004,-117.181327620742,15,15435.0137710571,8295.0963973999,-,-,-,-,-,-
25069.244,249.6005,-115.658198805859,15,15525.6404876709,8301.26476287842,-,-,-,-,-,-
25318.8444,249.6004,-114.150507209,15,15623.6877441406,8305.68218231201,-,-,-,-,-,-
25568.4449,249.6005,-112.686905255883,15,15737.5068664551,8296.8692779541,-,-,-,-,-,-
25818.0453,249.6004,-111.180896296628,15,15823.99559021,8298.92253875732,-,-,-,-,-,-
26067.6457,249.6004,-109.685494813232,15,15914.0758514404,8279.10995483398,-,-,-,-,-,-
26317.2462,249.6005,-108.174564804208,15,16028.2421112061,8299.37839508057,-,-,-,-,-,-
26566.8466,249.6004,-106.68622307264,15,16111.6752624512,8307.81364440918,-,-,-,-,-,-
26816.4471,249.6005,-105.199468409028,15,16202.4822235107,8303.11298370361,-,-,-,-,-,-
27066.0475,249.6004,-103.699179153094,15,16315.7253265381,8304.78382110596,-,-,-,-,-,-
27315.6479,249.6004,-102.199355778399,15,16411.4189147949,8296.71859741211,-,-,-,-,-,-
27565.2484,249.6005,-100.70541081382,15,16533.3061218262,8310.6164932251,-,-,-,-,-,-
27814.8488,249.6004,-99.2113148218068,15,16625.7343292236,8306.51473999023,-,-,-,-,-,-
28064.4492,249.6004,-97.7107043126012,15,16707.9162597656,8298.12717437744,-,-,-,-,-,-
28314.0497,249.6005,-96.211582319551,15,16823.9097595215,8296.53930664063,-,-,-,-,-,-
28563.6501,249.6004,-94.7111394763956,15,16927.4387359619,8307.50846862793,-,-,-,-,-,-
28813.2506,249.6005,-93.2173634577603,15,17032.2971343994,8293.55716705322,-,-,-,-,-,-
29062.851,249.6004,-91.7225776031434,15,17131.5174102783,8290.73143005371,-,-,-,-,-,-
