# Exported: 9/4/2021 11:12:00 PM
# Scan Set: Tran_J07_20210818_Pro
# Scan Orientation: Transverse
# Scan: d = 15 mm
# Processed Data

Position,Value
84.9147579516346,0.7565
86.2386587600833,0.7528
87.5779534863082,0.7479
88.9270491706565,0.7436
90.2635464391341,0.7383
91.5779477143566,0.7354
92.9119694812018,0.7325
94.2276225872525,0.7273
95.5501173196213,0.7231
96.865541960837,0.7195
98.1902024345739,0.7161
99.5085646782967,0.7110
100.85718549248,0.7066
102.217012675266,0.7021
103.528014277827,0.6993
104.837688509016,0.6951
106.180494923357,0.6909
107.521379410939,0.6876
108.879946437769,0.6832
110.205218762268,0.6793
111.550735573803,0.6760
112.911737152471,0.6729
114.233746119305,0.6686
115.544303561487,0.6643
116.870766911643,0.6615
118.189422275615,0.6576
119.507669308999,0.6544
120.829610435776,0.6516
122.161710286101,0.6470
123.485743549063,0.6440
124.798717008667,0.6408
126.147061332374,0.6372
127.495374915575,0.6342
128.820362434711,0.6306
130.140937165441,0.6270
131.466500029708,0.6240
132.797414599022,0.6199
134.107259070356,0.6167
135.439607251133,0.6141
136.795227090809,0.6106
138.142657483496,0.6073
139.458816835099,0.6037
140.785102920463,0.6011
142.102027712718,0.5979
143.414572996597,0.5947
144.730384198143,0.5916
146.048404036453,0.5889
147.377127243897,0.5851
148.707516357402,0.5819
150.018266434629,0.5794
151.337825479373,0.5769
152.675932364584,0.5734
154.025701339747,0.5699
155.406011100011,0.5675
156.794666457157,0.5644
158.130448829664,0.5618
159.455694274141,0.5584
160.786493643356,0.5559
162.098723391605,0.5532
163.436023241248,0.5495
164.74174098906,0.5480
166.059248837174,0.5442
167.384686916694,0.5409
168.701409468778,0.5384
170.028731085265,0.5353
171.347580988924,0.5323
172.659140037081,0.5293
173.989245000584,0.5268
175.313513148866,0.5239
176.622444999901,0.5203
177.957618122609,0.5182
179.274890430041,0.5162
180.588222924832,0.5127
181.935974608033,0.5093
183.291589962585,0.5065
184.627145150259,0.5033
185.931195077128,0.5009
187.251954117776,0.4973
188.574816835099,0.4944
189.934057173224,0.4915
191.274315719791,0.4886
192.609216212506,0.4859
193.972537153153,0.4825
195.291035076991,0.4787
196.61118611712,0.4749
197.935306440636,0.4705
199.253938754349,0.4654
200.570818756807,0.4569
201.949695581448,0.4373
203.301775552503,0.3858
204.606835389994,0.2957
205.92416980308,0.1890
207.258395079859,0.0987
208.579289155502,0.0467
209.917148365621,0.0234
211.273757646141,0.0144
212.599033790164,0.0103
213.911797943989,0.0081
215.237563068909,0.0069
216.562002122937,0.0061
217.92295188716,0.0055
219.272450761613,0.0051
220.591031230161,0.0048
221.904778435066,0.0046
223.226421321588,0.0043
224.55322131203,0.0040
225.887849154273,0.0039
227.190505149713,0.0037
228.520297158068,0.0036
229.842683069864,0.0033
231.144064829337,0.0032
232.477833155966,0.0031
233.795668674119,0.0030
235.114476993102,0.0028
236.44613523281,0.0028
237.756693954994,0.0027
239.077095875337,0.0025
240.403387715586,0.0024
241.721215553732,0.0023
243.033539397422,0.0024
244.361882434301,0.0022
245.680441798192,0.0021
247.0041307511,0.0021
248.332554438288,0.0020
249.647820994249,0.0020
250.958204346043,0.0019
252.306598610272,0.0018
253.625717949041,0.0019
