# Exported: 11/2/2021 3:50:38 PM
# Scan Set: J42
# Scan Orientation: Transverse
# Scan: d = 15 mm
# Processed Data

Position,Value
31.6761110775936,0.9455
33.175597840295,0.9419
34.6637130307112,0.9375
36.1756272778458,0.9326
37.6598184555398,0.9280
39.1643811351249,0.9236
40.6647228666928,0.9180
42.1542088230612,0.9137
43.6589417284835,0.9087
45.1522774637503,0.9034
46.6524784070318,0.8986
48.1465628800037,0.8945
49.6410236416683,0.8886
51.1409212501873,0.8843
52.6521277162093,0.8791
54.1403593769351,0.8736
55.6413884113195,0.8685
57.1346332741469,0.8636
58.6282237082228,0.8584
60.1413106193918,0.8537
61.6521571537601,0.8426
63.1168790137014,0.8419
64.6172194653758,0.8383
66.1169212501873,0.8337
67.6179438851041,0.8280
69.1169737258213,0.8237
70.6168700544468,0.8180
72.1163900943795,0.8122
73.6042403468384,0.8071
75.0984924858605,0.8039
76.5982736240698,0.7978
78.092446409694,0.7934
79.5922032299266,0.7883
81.0925782387258,0.7831
82.5864579287356,0.7787
84.0864195319303,0.7732
85.5804220917173,0.7694
87.0815215202448,0.7646
88.5801238765288,0.7594
90.0743452981065,0.7546
91.5744976054345,0.7497
93.0683657764027,0.7451
94.5686575921236,0.7413
96.0695381588605,0.7362
97.5810031633721,0.7312
99.0631145141077,0.7276
100.569115794001,0.7231
102.055997167071,0.7180
103.555871737507,0.7144
105.050228827797,0.7097
106.549811582512,0.7057
108.043527446152,0.7012
109.544089319404,0.6964
111.044207069607,0.6916
112.537439133499,0.6886
114.032452809162,0.6846
115.544159713547,0.6803
117.031577361999,0.6758
118.525646476248,0.6715
120.031425054671,0.6671
121.519432734032,0.6631
123.027305218241,0.6597
124.532093159084,0.6561
126.031619598485,0.6519
127.51989477559,0.6483
129.013977968668,0.6439
130.513538965193,0.6401
132.00765799529,0.6364
133.508104678126,0.6335
135.007870457613,0.6288
136.50334105526,0.6245
138.001645196355,0.6213
139.495824381447,0.6180
140.995796223789,0.6150
142.490002286645,0.6103
143.995773185706,0.6071
145.489553044022,0.6039
146.984012525793,0.5995
148.483697671989,0.5959
149.983887096229,0.5929
151.477528726045,0.5895
152.97201508558,0.5857
154.478024044835,0.5822
155.971642636568,0.5786
157.471672074119,0.5750
158.971713030711,0.5729
160.460012525793,0.5678
161.959857658678,0.5653
163.459709191031,0.5622
164.960041963344,0.5576
166.459966449627,0.5555
167.953922933247,0.5511
169.453969009414,0.5475
170.964872281461,0.5450
172.460323539917,0.5409
173.947759106878,0.5383
175.447826941234,0.5334
176.935698951882,0.5306
178.435405856268,0.5249
179.935811582512,0.5227
181.42965799529,0.5181
182.923647756142,0.5152
184.423656715397,0.5116
185.925158030487,0.5064
187.423538965193,0.5048
188.917463451476,0.4982
190.423851259211,0.4949
191.911586321253,0.4915
193.41146857105,0.4852
194.911892215803,0.4801
196.405883256548,0.4763
197.899814142299,0.4684
199.405814142299,0.4597
200.899624718059,0.4469
202.400333779065,0.4101
203.900045803024,0.3266
205.393737348688,0.2162
206.887623438165,0.1180
208.387887096229,0.0624
209.887773185706,0.0396
211.381884536442,0.0302
212.875837180382,0.0257
214.375990767603,0.0230
215.875789824322,0.0210
217.375866617933,0.0195
218.869696392095,0.0181
220.369972849094,0.0169
221.87555944349,0.0162
223.364048362812,0.0152
224.869953650692,0.0145
226.36382182166,0.0138
227.852050922599,0.0131
229.351637516994,0.0123
230.851725829646,0.0118
232.351586321253,0.0112
233.845478810198,0.0107
235.346894372424,0.0101
236.839880696761,0.0096
238.339670794225,0.0093
239.840190430991,0.0088
241.339841020062,0.0085
242.828004846432,0.0080
244.327824381447,0.0077
245.828181471737,0.0075
247.322072680788,0.0073
248.827947251224,0.0070
250.315554323916,0.0068
251.81622626801,0.0065
253.315820541766,0.0063
